case_id,method,block_id,state,device_id
COMBO02,VF,B_3_1,precision,P2
COMBO02,VF,B_3_2,precision,P2
COMBO02,VF,B_3_3,ordinary,O1
COMBO02,VF,B_3_4,precision,P2
COMBO02,VF,B_4_1,precision,P2
COMBO02,VF,B_4_2,ordinary,O1
COMBO02,VF,B_4_3,ordinary,O1
COMBO02,VF,B_4_4,ordinary,O1
COMBO02,VF,B_5_1,ordinary,O1
COMBO02,VF,B_5_2,ordinary,O1
COMBO02,VF,B_5_3,ordinary,O1
COMBO02,VF,B_5_4,ordinary,O1
COMBO02,VDF,B_1_1,ordinary,O1
COMBO02,VDF,B_1_2,ordinary,O1
COMBO02,VDF,B_1_3,ordinary,O2
COMBO02,VDF,B_1_4,ordinary,O2
COMBO02,VDF,B_2_1,ordinary,O1
COMBO02,VDF,B_2_2,ordinary,O1
COMBO02,VDF,B_2_3,ordinary,O2
COMBO02,VDF,B_2_4,ordinary,O1
COMBO02,VDF,B_3_1,ordinary,O1
COMBO02,VDF,B_3_2,ordinary,O1
COMBO02,VDF,B_3_3,ordinary,O2
COMBO02,VDF,B_3_4,ordinary,O1
COMBO02,VDF,B_4_1,ordinary,O1
COMBO02,VDF,B_4_2,ordinary,O1
COMBO02,VDF,B_4_3,ordinary,O2
COMBO02,VDF,B_4_4,ordinary,O1
COMBO02,VDF,B_5_1,ordinary,O1
COMBO02,VDF,B_5_2,ordinary,O2
COMBO02,VDF,B_5_3,ordinary,O2
COMBO02,VDF,B_5_4,ordinary,O2
COMBO02,MG,B_1_1,ordinary,O1
COMBO02,MG,B_1_2,ordinary,O1
COMBO02,MG,B_1_3,ordinary,O2
COMBO02,MG,B_1_4,ordinary,O2
COMBO02,MG,B_2_1,ordinary,O1
COMBO02,MG,B_2_2,ordinary,O1
COMBO02,MG,B_2_3,ordinary,O2
COMBO02,MG,B_2_4,ordinary,O1
COMBO02,MG,B_3_1,ordinary,O1
COMBO02,MG,B_3_2,ordinary,O1
COMBO02,MG,B_3_3,ordinary,O2
COMBO02,MG,B_3_4,ordinary,O1
COMBO02,MG,B_4_1,ordinary,O1
COMBO02,MG,B_4_2,ordinary,O1
COMBO02,MG,B_4_3,ordinary,O2
COMBO02,MG,B_4_4,ordinary,O1
COMBO02,MG,B_5_1,ordinary,O1
COMBO02,MG,B_5_2,ordinary,O2
COMBO02,MG,B_5_3,ordinary,O2
COMBO02,MG,B_5_4,ordinary,O2
COMBO02,MG-LS,B_1_1,precision,P1
COMBO02,MG-LS,B_1_2,precision,P1
COMBO02,MG-LS,B_1_3,precision,P1
COMBO02,MG-LS,B_1_4,precision,P2
COMBO02,MG-LS,B_2_1,precision,P1
COMBO02,MG-LS,B_2_2,precision,P1
COMBO02,MG-LS,B_2_3,precision,P2
COMBO02,MG-LS,B_2_4,precision,P2
COMBO02,MG-LS,B_3_1,ordinary,O1
COMBO02,MG-LS,B_3_2,ordinary,O1
COMBO02,MG-LS,B_3_3,ordinary,O2
COMBO02,MG-LS,B_3_4,ordinary,O1
COMBO02,MG-LS,B_4_1,ordinary,O1
COMBO02,MG-LS,B_4_2,ordinary,O1
COMBO02,MG-LS,B_4_3,ordinary,O2
COMBO02,MG-LS,B_4_4,ordinary,O1
COMBO02,MG-LS,B_5_1,ordinary,O1
COMBO02,MG-LS,B_5_2,ordinary,O2
COMBO02,MG-LS,B_5_3,ordinary,O2
COMBO02,MG-LS,B_5_4,ordinary,O2
COMBO03,VF,B_1_1,precision,P1
COMBO03,VF,B_1_2,ordinary,O3
COMBO03,VF,B_1_3,precision,P1
COMBO03,VF,B_1_4,ordinary,O2
COMBO03,VF,B_1_5,ordinary,O2
COMBO03,VF,B_2_1,precision,P1
COMBO03,VF,B_2_3,precision,P1
COMBO03,VF,B_2_5,precision,P2
COMBO03,VF,B_3_1,precision,P2
COMBO03,VF,B_3_3,ordinary,O2
COMBO03,VF,B_3_4,ordinary,O3
COMBO03,VF,B_3_5,precision,P2
COMBO03,VF,B_4_1,ordinary,O1
COMBO03,VF,B_4_3,ordinary,O3
COMBO03,VF,B_4_4,ordinary,O1
COMBO03,VF,B_4_5,ordinary,O1
COMBO03,VF,B_5_1,ordinary,O1
COMBO03,VF,B_5_2,ordinary,O3
COMBO03,VF,B_5_3,ordinary,O1
COMBO03,VF,B_5_4,ordinary,O1
COMBO03,VF,B_5_5,ordinary,O1
COMBO03,VF,B_6_1,ordinary,O1
COMBO03,VF,B_6_2,ordinary,O1
COMBO03,VF,B_6_3,ordinary,O2
COMBO03,VF,B_6_4,ordinary,O2
COMBO03,VF,B_6_5,ordinary,O2
COMBO03,VDF,B_1_1,ordinary,O1
COMBO03,VDF,B_1_2,ordinary,O3
COMBO03,VDF,B_1_3,ordinary,O1
COMBO03,VDF,B_1_4,ordinary,O3
COMBO03,VDF,B_1_5,ordinary,O3
COMBO03,VDF,B_2_1,ordinary,O1
COMBO03,VDF,B_2_3,ordinary,O1
COMBO03,VDF,B_2_5,ordinary,O1
COMBO03,VDF,B_3_1,ordinary,O1
COMBO03,VDF,B_3_3,ordinary,O3
COMBO03,VDF,B_3_5,ordinary,O1
COMBO03,VDF,B_4_1,ordinary,O1
COMBO03,VDF,B_4_3,precision,P2
COMBO03,VDF,B_4_4,ordinary,O1
COMBO03,VDF,B_4_5,ordinary,O2
COMBO03,VDF,B_5_1,ordinary,O2
COMBO03,VDF,B_5_2,precision,P2
COMBO03,VDF,B_5_3,ordinary,O2
COMBO03,VDF,B_5_4,ordinary,O2
COMBO03,VDF,B_5_5,ordinary,O2
COMBO03,VDF,B_6_1,ordinary,O2
COMBO03,VDF,B_6_2,ordinary,O2
COMBO03,VDF,B_6_3,precision,P1
COMBO03,VDF,B_6_4,precision,P1
COMBO03,VDF,B_6_5,precision,P1
COMBO03,MG,B_1_1,ordinary,O1
COMBO03,MG,B_1_3,ordinary,O1
COMBO03,MG,B_1_4,precision,P1
COMBO03,MG,B_1_5,ordinary,O3
COMBO03,MG,B_2_1,ordinary,O1
COMBO03,MG,B_2_3,ordinary,O1
COMBO03,MG,B_2_4,precision,P1
COMBO03,MG,B_2_5,ordinary,O1
COMBO03,MG,B_3_1,ordinary,O1
COMBO03,MG,B_3_3,precision,P2
COMBO03,MG,B_3_4,precision,P1
COMBO03,MG,B_3_5,ordinary,O1
COMBO03,MG,B_4_1,ordinary,O1
COMBO03,MG,B_4_3,precision,P2
COMBO03,MG,B_4_4,ordinary,O1
COMBO03,MG,B_4_5,ordinary,O2
COMBO03,MG,B_5_1,ordinary,O2
COMBO03,MG,B_5_3,ordinary,O2
COMBO03,MG,B_5_4,ordinary,O2
COMBO03,MG,B_5_5,ordinary,O2
COMBO03,MG,B_6_1,ordinary,O2
COMBO03,MG,B_6_2,ordinary,O2
COMBO03,MG,B_6_3,ordinary,O3
COMBO03,MG,B_6_4,ordinary,O3
COMBO03,MG,B_6_5,ordinary,O3
COMBO03,MG-LS,B_1_1,ordinary,O1
COMBO03,MG-LS,B_1_2,ordinary,O3
COMBO03,MG-LS,B_1_3,precision,P2
COMBO03,MG-LS,B_1_4,precision,P1
COMBO03,MG-LS,B_1_5,precision,P1
COMBO03,MG-LS,B_2_1,ordinary,O1
COMBO03,MG-LS,B_2_3,precision,P2
COMBO03,MG-LS,B_2_4,precision,P1
COMBO03,MG-LS,B_2_5,precision,P2
COMBO03,MG-LS,B_3_1,ordinary,O1
COMBO03,MG-LS,B_3_3,ordinary,O1
COMBO03,MG-LS,B_3_4,ordinary,O1
COMBO03,MG-LS,B_3_5,ordinary,O1
COMBO03,MG-LS,B_4_1,ordinary,O1
COMBO03,MG-LS,B_4_4,ordinary,O1
COMBO03,MG-LS,B_4_5,ordinary,O2
COMBO03,MG-LS,B_5_1,ordinary,O2
COMBO03,MG-LS,B_5_3,ordinary,O2
COMBO03,MG-LS,B_5_4,ordinary,O2
COMBO03,MG-LS,B_5_5,ordinary,O2
COMBO03,MG-LS,B_6_1,ordinary,O2
COMBO03,MG-LS,B_6_2,ordinary,O2
COMBO03,MG-LS,B_6_3,ordinary,O3
COMBO03,MG-LS,B_6_4,ordinary,O3
COMBO03,MG-LS,B_6_5,ordinary,O3
COMBO04,VF,B_1_1,precision,P1
COMBO04,VF,B_1_3,precision,P1
COMBO04,VF,B_2_1,precision,P2
COMBO04,VF,B_2_3,precision,P2
COMBO04,VF,B_2_5,ordinary,O1
COMBO04,VF,B_3_1,ordinary,O1
COMBO04,VF,B_3_3,ordinary,O1
COMBO04,VF,B_3_5,ordinary,O1
COMBO04,VF,B_5_1,ordinary,O1
COMBO04,VF,B_5_4,ordinary,O1
COMBO04,VF,B_5_5,ordinary,O2
COMBO04,VF,B_6_1,ordinary,O2
COMBO04,VF,B_6_3,ordinary,O2
COMBO04,VF,B_6_4,ordinary,O2
COMBO04,VF,B_6_5,ordinary,O3
COMBO04,VF,B_7_1,ordinary,O3
COMBO04,VF,B_7_2,ordinary,O3
COMBO04,VDF,B_1_1,ordinary,O1
COMBO04,VDF,B_1_3,ordinary,O1
COMBO04,VDF,B_2_1,ordinary,O1
COMBO04,VDF,B_2_3,ordinary,O1
COMBO04,VDF,B_2_5,ordinary,O1
COMBO04,VDF,B_3_1,ordinary,O1
COMBO04,VDF,B_3_3,ordinary,O2
COMBO04,VDF,B_3_5,ordinary,O2
COMBO04,VDF,B_5_1,ordinary,O2
COMBO04,VDF,B_5_4,ordinary,O2
COMBO04,VDF,B_5_5,precision,P1
COMBO04,VDF,B_6_1,precision,P1
COMBO04,VDF,B_6_3,ordinary,O3
COMBO04,VDF,B_6_4,ordinary,O3
COMBO04,VDF,B_6_5,ordinary,O3
COMBO04,VDF,B_7_1,precision,P2
COMBO04,VDF,B_7_2,precision,P2
COMBO04,MG,B_1_1,ordinary,O1
COMBO04,MG,B_1_3,ordinary,O1
COMBO04,MG,B_2_1,ordinary,O1
COMBO04,MG,B_2_3,ordinary,O1
COMBO04,MG,B_2_5,ordinary,O1
COMBO04,MG,B_3_1,ordinary,O1
COMBO04,MG,B_3_3,ordinary,O2
COMBO04,MG,B_3_5,ordinary,O2
COMBO04,MG,B_5_1,ordinary,O2
COMBO04,MG,B_5_4,ordinary,O2
COMBO04,MG,B_5_5,ordinary,O3
COMBO04,MG,B_6_1,ordinary,O3
COMBO04,MG,B_6_3,ordinary,O3
COMBO04,MG,B_7_1,precision,P1
COMBO04,MG,B_7_2,precision,P1
COMBO04,MG,B_7_3,precision,P2
COMBO04,MG,B_7_4,precision,P2
COMBO04,MG-LS,B_1_1,ordinary,O1
COMBO04,MG-LS,B_1_3,ordinary,O1
COMBO04,MG-LS,B_2_1,ordinary,O1
COMBO04,MG-LS,B_2_3,ordinary,O1
COMBO04,MG-LS,B_2_5,ordinary,O1
COMBO04,MG-LS,B_3_1,ordinary,O1
COMBO04,MG-LS,B_3_3,ordinary,O2
COMBO04,MG-LS,B_3_5,ordinary,O2
COMBO04,MG-LS,B_5_1,ordinary,O2
COMBO04,MG-LS,B_5_4,ordinary,O2
COMBO04,MG-LS,B_5_5,ordinary,O3
COMBO04,MG-LS,B_6_1,ordinary,O3
COMBO04,MG-LS,B_6_3,ordinary,O3
COMBO04,MG-LS,B_7_1,precision,P1
COMBO04,MG-LS,B_7_2,precision,P1
COMBO04,MG-LS,B_7_3,precision,P2
COMBO04,MG-LS,B_7_4,precision,P2
COMBO05,VF,B_1_1,precision,P1
COMBO05,VF,B_1_3,precision,P2
COMBO05,VF,B_1_4,ordinary,O1
COMBO05,VF,B_1_6,ordinary,O1
COMBO05,VF,B_2_1,ordinary,O1
COMBO05,VF,B_2_3,ordinary,O2
COMBO05,VF,B_2_4,ordinary,O2
COMBO05,VF,B_2_6,ordinary,O3
COMBO05,VF,B_3_1,ordinary,O3
COMBO05,VDF,B_1_1,ordinary,O1
COMBO05,VDF,B_1_3,ordinary,O1
COMBO05,VDF,B_1_4,ordinary,O1
COMBO05,VDF,B_1_6,ordinary,O2
COMBO05,VDF,B_2_1,ordinary,O2
COMBO05,VDF,B_2_3,precision,P1
COMBO05,VDF,B_2_4,ordinary,O3
COMBO05,VDF,B_2_6,ordinary,O3
COMBO05,VDF,B_3_1,precision,P2
COMBO05,MG,B_1_1,ordinary,O1
COMBO05,MG,B_1_3,ordinary,O1
COMBO05,MG,B_1_4,ordinary,O1
COMBO05,MG,B_1_6,ordinary,O2
COMBO05,MG,B_2_1,ordinary,O2
COMBO05,MG,B_2_3,ordinary,O3
COMBO05,MG,B_2_4,ordinary,O3
COMBO05,MG,B_7_1,precision,P2
COMBO05,MG,B_8_1,precision,P1
COMBO05,MG-LS,B_1_1,ordinary,O1
COMBO05,MG-LS,B_1_3,ordinary,O1
COMBO05,MG-LS,B_1_4,ordinary,O1
COMBO05,MG-LS,B_1_6,ordinary,O2
COMBO05,MG-LS,B_2_1,ordinary,O2
COMBO05,MG-LS,B_2_3,ordinary,O3
COMBO05,MG-LS,B_2_4,ordinary,O3
COMBO05,MG-LS,B_7_1,precision,P2
COMBO05,MG-LS,B_8_1,precision,P1
COMBO06,VF,B_10_1,ordinary,O1
COMBO06,VF,B_10_3,ordinary,O2
COMBO06,VF,B_10_4,ordinary,O3
COMBO06,VDF,B_10_1,ordinary,O1
COMBO06,VDF,B_10_3,ordinary,O2
COMBO06,VDF,B_10_4,ordinary,O3
COMBO06,MG,B_10_1,ordinary,O1
COMBO06,MG,B_10_3,ordinary,O2
COMBO06,MG,B_10_4,ordinary,O3
COMBO06,MG-LS,B_10_1,ordinary,O1
COMBO06,MG-LS,B_10_3,ordinary,O2
COMBO06,MG-LS,B_10_4,ordinary,O3
CRACK01,VF,B_1_1,precision,P1
CRACK01,VF,B_1_2,precision,P1
CRACK01,VF,B_1_3,precision,P1
CRACK01,VF,B_1_4,precision,P2
CRACK01,VF,B_1_5,precision,P2
CRACK01,VF,B_2_1,ordinary,O1
CRACK01,VF,B_2_2,ordinary,O1
CRACK01,VF,B_2_3,ordinary,O1
CRACK01,VF,B_2_4,ordinary,O1
CRACK01,VF,B_2_5,ordinary,O1
CRACK01,VF,B_3_1,ordinary,O1
CRACK01,VF,B_3_2,ordinary,O2
CRACK01,VF,B_3_3,ordinary,O2
CRACK01,VF,B_3_4,ordinary,O2
CRACK01,VF,B_3_5,ordinary,O2
CRACK01,VF,B_4_1,ordinary,O2
CRACK01,VF,B_4_2,ordinary,O3
CRACK01,VF,B_4_3,ordinary,O3
CRACK01,VF,B_4_4,ordinary,O3
CRACK01,VDF,B_1_1,ordinary,O1
CRACK01,VDF,B_1_2,ordinary,O1
CRACK01,VDF,B_1_3,ordinary,O1
CRACK01,VDF,B_1_4,ordinary,O1
CRACK01,VDF,B_1_5,ordinary,O1
CRACK01,VDF,B_2_1,ordinary,O1
CRACK01,VDF,B_2_2,ordinary,O2
CRACK01,VDF,B_2_3,ordinary,O2
CRACK01,VDF,B_2_4,ordinary,O2
CRACK01,VDF,B_2_5,ordinary,O2
CRACK01,VDF,B_3_1,ordinary,O2
CRACK01,VDF,B_3_2,precision,P1
CRACK01,VDF,B_3_3,precision,P1
CRACK01,VDF,B_3_4,precision,P1
CRACK01,VDF,B_3_5,ordinary,O3
CRACK01,VDF,B_4_1,ordinary,O3
CRACK01,VDF,B_4_2,ordinary,O3
CRACK01,VDF,B_4_3,precision,P2
CRACK01,VDF,B_4_4,precision,P2
CRACK01,MG,B_1_1,ordinary,O1
CRACK01,MG,B_1_2,ordinary,O1
CRACK01,MG,B_1_3,ordinary,O1
CRACK01,MG,B_1_4,ordinary,O1
CRACK01,MG,B_1_5,ordinary,O1
CRACK01,MG,B_2_1,ordinary,O1
CRACK01,MG,B_2_2,ordinary,O2
CRACK01,MG,B_2_3,ordinary,O2
CRACK01,MG,B_2_4,ordinary,O2
CRACK01,MG,B_2_5,ordinary,O2
CRACK01,MG,B_3_1,ordinary,O2
CRACK01,MG,B_3_2,ordinary,O3
CRACK01,MG,B_3_3,ordinary,O3
CRACK01,MG,B_3_4,ordinary,O3
CRACK01,MG,B_4_1,precision,P1
CRACK01,MG,B_5_1,precision,P1
CRACK01,MG,B_5_2,precision,P2
CRACK01,MG,B_6_1,precision,P1
CRACK01,MG,B_6_2,precision,P2
CRACK01,MG-LS,B_1_1,ordinary,O1
CRACK01,MG-LS,B_1_2,ordinary,O1
CRACK01,MG-LS,B_1_3,ordinary,O1
CRACK01,MG-LS,B_1_4,ordinary,O1
CRACK01,MG-LS,B_1_5,ordinary,O1
CRACK01,MG-LS,B_2_1,ordinary,O1
CRACK01,MG-LS,B_2_2,ordinary,O2
CRACK01,MG-LS,B_2_3,ordinary,O2
CRACK01,MG-LS,B_2_4,ordinary,O2
CRACK01,MG-LS,B_2_5,ordinary,O2
CRACK01,MG-LS,B_3_1,ordinary,O2
CRACK01,MG-LS,B_3_2,ordinary,O3
CRACK01,MG-LS,B_3_3,ordinary,O3
CRACK01,MG-LS,B_3_4,ordinary,O3
CRACK01,MG-LS,B_4_1,precision,P1
CRACK01,MG-LS,B_5_1,precision,P1
CRACK01,MG-LS,B_5_2,precision,P2
CRACK01,MG-LS,B_6_1,precision,P1
CRACK01,MG-LS,B_6_2,precision,P2
CRACK02,VF,B_1_1,precision,P1
CRACK02,VF,B_1_2,precision,P1
CRACK02,VF,B_1_3,precision,P1
CRACK02,VF,B_2_1,precision,P2
CRACK02,VF,B_2_2,precision,P2
CRACK02,VF,B_2_3,ordinary,O1
CRACK02,VF,B_2_5,ordinary,O1
CRACK02,VF,B_3_1,ordinary,O1
CRACK02,VF,B_3_2,ordinary,O1
CRACK02,VF,B_3_5,ordinary,O1
CRACK02,VF,B_4_1,ordinary,O1
CRACK02,VF,B_4_2,ordinary,O2
CRACK02,VF,B_4_4,ordinary,O2
CRACK02,VF,B_4_5,ordinary,O2
CRACK02,VF,B_5_1,ordinary,O2
CRACK02,VF,B_5_2,ordinary,O2
CRACK02,VF,B_5_3,ordinary,O3
CRACK02,VF,B_5_4,ordinary,O3
CRACK02,VF,B_5_5,ordinary,O3
CRACK02,VDF,B_1_1,ordinary,O1
CRACK02,VDF,B_1_2,ordinary,O1
CRACK02,VDF,B_1_3,ordinary,O1
CRACK02,VDF,B_2_1,ordinary,O1
CRACK02,VDF,B_2_2,ordinary,O1
CRACK02,VDF,B_2_3,ordinary,O1
CRACK02,VDF,B_2_5,ordinary,O2
CRACK02,VDF,B_3_1,ordinary,O2
CRACK02,VDF,B_3_2,ordinary,O2
CRACK02,VDF,B_3_5,ordinary,O2
CRACK02,VDF,B_4_1,ordinary,O2
CRACK02,VDF,B_4_2,precision,P1
CRACK02,VDF,B_4_4,precision,P1
CRACK02,VDF,B_4_5,precision,P1
CRACK02,VDF,B_5_1,ordinary,O3
CRACK02,VDF,B_5_2,ordinary,O3
CRACK02,VDF,B_5_3,ordinary,O3
CRACK02,VDF,B_5_4,precision,P2
CRACK02,VDF,B_5_5,precision,P2
CRACK02,MG,B_1_1,ordinary,O1
CRACK02,MG,B_1_2,ordinary,O1
CRACK02,MG,B_1_3,ordinary,O1
CRACK02,MG,B_2_1,ordinary,O1
CRACK02,MG,B_2_2,ordinary,O1
CRACK02,MG,B_2_3,ordinary,O1
CRACK02,MG,B_2_5,ordinary,O2
CRACK02,MG,B_3_1,ordinary,O2
CRACK02,MG,B_3_2,ordinary,O2
CRACK02,MG,B_3_5,ordinary,O2
CRACK02,MG,B_4_1,ordinary,O2
CRACK02,MG,B_4_2,ordinary,O3
CRACK02,MG,B_4_4,ordinary,O3
CRACK02,MG,B_4_5,ordinary,O3
CRACK02,MG,B_5_1,precision,P1
CRACK02,MG,B_5_2,precision,P2
CRACK02,MG,B_6_1,precision,P1
CRACK02,MG,B_6_2,precision,P1
CRACK02,MG,B_6_3,precision,P2
CRACK02,MG-LS,B_1_1,ordinary,O1
CRACK02,MG-LS,B_1_2,ordinary,O1
CRACK02,MG-LS,B_1_3,ordinary,O1
CRACK02,MG-LS,B_2_1,ordinary,O1
CRACK02,MG-LS,B_2_2,ordinary,O1
CRACK02,MG-LS,B_2_3,ordinary,O1
CRACK02,MG-LS,B_2_5,ordinary,O2
CRACK02,MG-LS,B_3_1,ordinary,O2
CRACK02,MG-LS,B_3_2,ordinary,O2
CRACK02,MG-LS,B_3_5,ordinary,O2
CRACK02,MG-LS,B_4_1,ordinary,O2
CRACK02,MG-LS,B_4_2,ordinary,O3
CRACK02,MG-LS,B_4_4,ordinary,O3
CRACK02,MG-LS,B_4_5,ordinary,O3
CRACK02,MG-LS,B_5_1,precision,P1
CRACK02,MG-LS,B_5_2,precision,P2
CRACK02,MG-LS,B_6_1,precision,P1
CRACK02,MG-LS,B_6_2,precision,P1
CRACK02,MG-LS,B_6_3,precision,P2
CRACK03,VF,B_1_1,precision,P1
CRACK03,VF,B_1_3,precision,P1
CRACK03,VF,B_2_1,precision,P1
CRACK03,VF,B_2_3,precision,P2
CRACK03,VF,B_2_5,precision,P2
CRACK03,VF,B_3_1,ordinary,O1
CRACK03,VF,B_3_5,ordinary,O1
CRACK03,VF,B_4_1,ordinary,O1
CRACK03,VF,B_4_4,ordinary,O1
CRACK03,VF,B_4_5,ordinary,O1
CRACK03,VF,B_5_1,ordinary,O1
CRACK03,VF,B_5_3,ordinary,O2
CRACK03,VF,B_5_4,ordinary,O2
CRACK03,VF,B_5_5,ordinary,O2
CRACK03,VF,B_6_1,ordinary,O2
CRACK03,VF,B_6_2,ordinary,O2
CRACK03,VF,B_6_3,ordinary,O3
CRACK03,VF,B_6_4,ordinary,O3
CRACK03,VF,B_6_5,ordinary,O3
CRACK03,VDF,B_1_1,ordinary,O1
CRACK03,VDF,B_1_3,ordinary,O1
CRACK03,VDF,B_2_1,ordinary,O1
CRACK03,VDF,B_2_3,ordinary,O1
CRACK03,VDF,B_2_5,ordinary,O1
CRACK03,VDF,B_3_1,ordinary,O1
CRACK03,VDF,B_3_5,ordinary,O2
CRACK03,VDF,B_4_1,ordinary,O2
CRACK03,VDF,B_4_4,ordinary,O2
CRACK03,VDF,B_4_5,ordinary,O2
CRACK03,VDF,B_5_1,ordinary,O2
CRACK03,VDF,B_5_3,precision,P1
CRACK03,VDF,B_5_4,precision,P1
CRACK03,VDF,B_5_5,precision,P1
CRACK03,VDF,B_6_1,ordinary,O3
CRACK03,VDF,B_6_2,ordinary,O3
CRACK03,VDF,B_6_3,ordinary,O3
CRACK03,VDF,B_6_4,precision,P2
CRACK03,VDF,B_6_5,precision,P2
CRACK03,MG,B_1_1,ordinary,O1
CRACK03,MG,B_1_3,ordinary,O1
CRACK03,MG,B_2_1,ordinary,O1
CRACK03,MG,B_2_3,ordinary,O1
CRACK03,MG,B_2_5,ordinary,O1
CRACK03,MG,B_3_1,ordinary,O1
CRACK03,MG,B_3_5,ordinary,O2
CRACK03,MG,B_4_1,ordinary,O2
CRACK03,MG,B_4_4,ordinary,O2
CRACK03,MG,B_4_5,ordinary,O2
CRACK03,MG,B_5_1,ordinary,O2
CRACK03,MG,B_5_3,ordinary,O3
CRACK03,MG,B_5_4,ordinary,O3
CRACK03,MG,B_5_5,ordinary,O3
CRACK03,MG,B_6_1,precision,P1
CRACK03,MG,B_6_2,precision,P1
CRACK03,MG,B_6_3,precision,P1
CRACK03,MG,B_6_4,precision,P2
CRACK03,MG,B_6_5,precision,P2
CRACK03,MG-LS,B_1_1,ordinary,O1
CRACK03,MG-LS,B_1_3,ordinary,O1
CRACK03,MG-LS,B_2_1,ordinary,O1
CRACK03,MG-LS,B_2_3,ordinary,O1
CRACK03,MG-LS,B_2_5,ordinary,O1
CRACK03,MG-LS,B_3_1,ordinary,O1
CRACK03,MG-LS,B_3_5,ordinary,O2
CRACK03,MG-LS,B_4_1,ordinary,O2
CRACK03,MG-LS,B_4_4,ordinary,O2
CRACK03,MG-LS,B_4_5,ordinary,O2
CRACK03,MG-LS,B_5_1,ordinary,O2
CRACK03,MG-LS,B_5_3,ordinary,O3
CRACK03,MG-LS,B_5_4,ordinary,O3
CRACK03,MG-LS,B_5_5,ordinary,O3
CRACK03,MG-LS,B_6_1,precision,P1
CRACK03,MG-LS,B_6_2,precision,P1
CRACK03,MG-LS,B_6_3,precision,P1
CRACK03,MG-LS,B_6_4,precision,P2
CRACK03,MG-LS,B_6_5,precision,P2
CRACK04,VF,B_1_1,precision,P1
CRACK04,VF,B_1_3,precision,P1
CRACK04,VF,B_1_5,ordinary,O3
CRACK04,VF,B_2_1,precision,P1
CRACK04,VF,B_2_3,precision,P2
CRACK04,VF,B_2_5,precision,P2
CRACK04,VF,B_3_1,ordinary,O1
CRACK04,VF,B_4_1,ordinary,O3
CRACK04,VF,B_4_4,ordinary,O1
CRACK04,VF,B_4_5,ordinary,O1
CRACK04,VF,B_5_1,ordinary,O1
CRACK04,VF,B_5_3,ordinary,O1
CRACK04,VF,B_5_4,ordinary,O1
CRACK04,VF,B_5_5,ordinary,O2
CRACK04,VF,B_6_1,ordinary,O2
CRACK04,VF,B_6_2,ordinary,O2
CRACK04,VF,B_6_3,ordinary,O2
CRACK04,VF,B_6_4,ordinary,O2
CRACK04,VF,B_6_5,ordinary,O3
CRACK04,VDF,B_1_1,ordinary,O1
CRACK04,VDF,B_1_3,ordinary,O1
